size,test-no-warm-up,mkl-no-warm-up-no-ao,mkl-no-warm-up-ao,test-warm-up,mkl-warm-up-no-ao,mkl-warm-up-ao
200,1.59, 0.4, 0.23,0.93,60.84,62.02
400,6.11, 5.02, 4.62, 12, 146.45, 85.11
600,30.77,62.86, 51.85,79.63, 170.89,104.32
800,63.79, 96.94, 78.5, 73.14,183.58,180.41
1000,75.25, 118.96, 81.19, 77.99,165.36,162.67
1500,123.57, 16.21, 11.87,65.28,179.15,83.43
2000,67.38, 34.06, 9.25,78.76, 189.61,134.08
2500,72.22, 30.76, 28.03, 71.32, 193.95,163.69
3000,70.93,47.14, 34.06, 69.95, 201.27,240.36
4000,67.7,116.71,78.04, 63.95, 254.4,338.34
5000,57.27,183.99,112.93, 65.32, 206.11,398.31
10000,67.25,215.14,209.67, 63.37, 225.48,978.08
